City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Ushuaia,AR,-54.8,-68.3,41.0,75,0,2.3,clear sky
1,Kodiak,US,57.79,-152.4072,39.2,33,1,24.16,clear sky
2,Cherskiy,RU,68.75,161.3,-5.75,90,33,4.79,scattered clouds
3,Fortuna,US,40.5982,-124.1573,57.0,71,1,14.97,clear sky
4,Cape Town,ZA,-33.9258,18.4232,62.01,82,0,8.05,clear sky
5,Iqaluit,CA,63.7506,-68.5145,21.2,79,75,11.5,light snow
6,Barrow,US,71.2906,-156.7887,-0.4,71,90,11.5,overcast clouds
7,Hithadhoo,MV,-0.6,73.0833,83.23,70,16,13.49,few clouds
8,Hermanus,ZA,-34.4187,19.2345,60.01,90,100,4.0,overcast clouds
9,Dikson,RU,73.5069,80.5464,-4.14,100,99,1.77,overcast clouds
10,Rikitea,PF,-23.1203,-134.9692,77.88,71,13,13.22,light rain
11,Flin Flon,CA,54.7682,-101.865,34.41,79,100,10.04,overcast clouds
12,Tiksi,RU,71.6872,128.8694,-7.58,92,39,4.18,scattered clouds
13,Acarau,BR,-2.8856,-40.12,77.97,85,40,10.76,scattered clouds
14,Puerto El Triunfo,SV,13.2833,-88.55,84.2,65,20,4.61,few clouds
15,Atuona,PF,-9.8,-139.0333,80.82,76,35,6.6,scattered clouds
16,Hilo,US,19.7297,-155.09,71.6,83,90,5.75,light rain
17,Klaksvik,FO,62.2266,-6.589,26.6,80,75,34.52,heavy snow
18,Madras,IN,13.0878,80.2785,78.8,89,40,5.17,mist
19,Buala,SB,-8.145,159.5921,84.2,76,34,6.11,light rain
20,Baffa,PK,34.4378,73.2194,55.94,81,67,5.17,broken clouds
21,Brae,GB,60.3964,-1.353,33.8,60,75,26.46,light snow
22,Port Hardy,CA,50.6996,-127.4199,48.2,71,40,16.11,scattered clouds
23,Zvishavane,ZW,-20.3267,30.0665,61.81,85,0,2.75,clear sky
24,Antalaha,MG,-14.9003,50.2788,75.43,91,82,3.29,broken clouds
25,Vilhena,BR,-12.7406,-60.1458,69.66,96,100,1.32,overcast clouds
26,Morant Bay,JM,17.8815,-76.4093,80.6,69,75,8.05,broken clouds
27,Mataura,NZ,-46.1927,168.8643,64.0,59,25,10.0,scattered clouds
28,New Norfolk,AU,-42.7826,147.0587,64.99,64,6,1.01,clear sky
29,Cabo San Lucas,MX,22.8909,-109.9124,86.0,28,1,11.5,clear sky
30,Bayji,IQ,34.9311,43.487,62.53,36,0,3.38,clear sky
31,Saskylakh,RU,71.9167,114.0833,-3.78,90,100,9.33,overcast clouds
32,Jamestown,US,42.097,-79.2353,46.0,65,90,5.75,moderate rain
33,Amboasary,MG,-25.0333,46.3833,69.8,83,20,2.3,few clouds
34,Busselton,AU,-33.65,115.3333,66.99,94,12,1.01,few clouds
35,Butaritari,KI,3.0707,172.7902,79.16,85,100,14.58,moderate rain
36,Clovis,US,36.8252,-119.7029,73.99,30,20,6.91,few clouds
37,Severo-Kurilsk,RU,50.6789,156.125,29.71,87,95,19.19,overcast clouds
38,Shache,CN,38.4167,77.2406,45.95,78,100,3.8,moderate rain
39,Hobart,AU,-42.8794,147.3294,64.99,59,20,3.44,few clouds
40,Kwidzyn,PL,53.7249,18.9311,30.99,85,6,7.0,light snow
41,Mar Del Plata,AR,-38.0023,-57.5575,70.0,94,81,5.75,broken clouds
42,Upernavik,GL,72.7868,-56.1549,6.35,90,100,5.53,light snow
43,Sayat,TM,38.7839,63.8803,44.6,76,0,4.61,clear sky
44,Aklavik,CA,68.2191,-135.0107,-0.4,60,99,13.8,overcast clouds
45,Ribeira Grande,PT,38.5167,-28.7,60.62,77,100,7.78,overcast clouds
46,Albany,US,42.6001,-73.9662,53.01,32,20,13.8,few clouds
47,Komsomolskiy,UZ,40.4272,71.7189,46.4,61,28,6.91,scattered clouds
48,Angoche,MZ,-16.2325,39.9086,75.51,70,84,9.69,broken clouds
49,Sorong,ID,-0.8833,131.25,84.29,69,92,5.57,overcast clouds
50,Murygino,RU,58.7383,49.4582,30.47,95,100,6.44,overcast clouds
51,Bredasdorp,ZA,-34.5322,20.0403,59.0,94,100,8.05,overcast clouds
52,Puerto Ayora,EC,-0.7393,-90.3518,78.01,94,51,5.17,broken clouds
53,Hualmay,PE,-11.0964,-77.6139,70.74,82,28,8.55,scattered clouds
54,Khatanga,RU,71.9667,102.5,9.77,87,100,4.68,overcast clouds
55,Mayo,US,38.8876,-76.5119,62.01,55,1,4.16,clear sky
56,Saint-Pierre,RE,-21.3393,55.4781,78.8,65,0,8.05,clear sky
57,Bairiki,KI,1.3292,172.9752,77.0,94,90,13.8,moderate rain
58,Omboue,GA,-1.5746,9.2618,78.94,87,100,4.7,overcast clouds
59,Souillac,MU,-20.5167,57.5167,77.0,83,40,3.44,scattered clouds
60,Taperoa,BR,-7.2075,-36.8267,70.54,89,43,13.91,scattered clouds
61,Kota Bahru,MY,6.1333,102.2386,78.8,94,40,5.17,scattered clouds
62,Grand Island,US,40.925,-98.342,77.0,43,1,11.5,clear sky
63,Dingle,PH,10.9995,122.6711,83.05,69,100,11.83,light rain
64,Gayny,RU,60.3071,54.3241,22.1,97,29,3.96,scattered clouds
65,Praia Da Vitoria,PT,38.7333,-27.0667,59.0,94,40,9.35,scattered clouds
66,Tabou,CI,4.423,-7.3528,79.38,88,99,3.96,overcast clouds
67,Odda,NO,60.0691,6.5457,35.01,80,100,11.01,snow
68,Kutum,SD,14.2,24.6667,69.13,8,0,5.99,clear sky
